Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
25/11/2021,, DOCTOR ANDRES CEBERIO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, JUEVES, 3, MALDONADO, SAN CARLOS, 1, 690105, 6148000 
26/12/2021,, COSTANERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 19, COLONIA, COLONIA DEL SACRAMENTO, 1, 421200, 6188155 
16/12/2021,, TOMAS GOMENSORO, CAÍDA, SIN LESIONADOS, JUEVES, 19, SORIANO, MERCEDES, 1, 404665, 6319955 
22/12/2021,, GENERAL JOSE G. ARTIGAS, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 9, SAN JOSE, SAN JOSE DE MAYO, 1, 526330, 6199860 
1/12/2021,, CALLE 27, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 19, CANELONES, PINAMAR - PINEPARK, 1, 605145, 6151230 
17/12/2021,, RUTA UNO VIEJA, ATROPELLO DE PEATÓN, GRAVE, VIERNES, 20, SAN JOSE, SAFICI (PARQUE POSTEL), 1, 552745, 6154835 
24/11/2021,, MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 18, SAN JOSE, SAN JOSE DE MAYO, 1, 526850, 6200215 
30/11/2021,, GENERAL FLORES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 19, FLORIDA, FLORIDA, 1, 572225, 6226090 
26/12/2021,, SIN DATOS, CAÍDA, LEVE, DOMINGO, 10, PAYSANDU, SIN DATOS, 1, 516840, 6471235 
3/12/2021,, VIA_PUBLICA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 7, CANELONES, PARADA CABRERA, 1, 568320, 6168075 
28/12/2021,, SIN DATOS, DESPISTE, SIN LESIONADOS, MARTES, 3, CANELONES, SIN DATOS, 1, 567290, 6174140 
23/12/2021,, AVENIDA FERNANDEZ CRESPO, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 10, MONTEVIDEO, MONTEVIDEO, 1, 574570, 6138395 
13/12/2021,, BOULEVARD GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 14, MONTEVIDEO, MONTEVIDEO, 1, 576355, 6137480 
20/12/2021,, AVENIDA ITALIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 19, MONTEVIDEO, MONTEVIDEO, 1, 578405, 6139190 
