Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
14/2/2022,, VIA_PUBLICA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 21, FLORIDA, CARDAL, 1, 555700, 6205150 
24/4/2022,, TREINTA Y TRES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 6, RIO NEGRO, FRAY BENTOS, 1, 377355, 6334945 
26/5/2022,, INGENIERO JUAN ALBERTO CAPURRO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 7, MONTEVIDEO, MONTEVIDEO, 1, 572105, 6141030 
5/3/2022,, PEDRO IRIGOYEN, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 18, RIVERA, RIVERA, 1, 640985, 6579545 
28/2/2022,, SIN DATOS, DESPISTE, LEVE, LUNES, 3, COLONIA, SIN DATOS, 1, 416150, 6252200 
13/6/2022,, AVENIDA DE LAS INSTRUCCIONES, ATROPELLO DE ANIMALES, LEVE, LUNES, 2, MONTEVIDEO, SIN DATOS, 1, 578810, 6150645 
29/5/2022,, AVENIDA ITALIA, CAÍDA, LEVE, DOMINGO, 14, SAN JOSE, SAN JOSE DE MAYO, 1, 527550, 6200955 
25/3/2022,, RINCON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 23, SALTO, SALTO, 1, 408405, 6526495 
12/4/2022,, SALTO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 18, SAN JOSE, DELTA DEL TIGRE Y VILLAS, 1, 554285, 6153790 
7/5/2022,, AVENIDA JOSE ENRIQUE RODO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 20, SALTO, SALTO, 1, 410920, 6528000 
8/5/2022,, RUTA NACIONAL OCHO, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 20, CANELONES, BARROS BLANCOS, 1, 590870, 6153530 
17/2/2022,, AVENIDA JOSE ENRIQUE RODO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, JUEVES, 10, MALDONADO, SAN CARLOS, 1, 689990, 6147880 
1/4/2022,, JUAN J. CARDOZO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 16, FLORIDA, FLORIDA, 1, 572290, 6226880 
5/3/2022,, VIA_PUBLICA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 18, MALDONADO, SIN DATOS, 1, 672195, 6152325 
10/5/2022,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 8, FLORIDA, FLORIDA, 1, 572505, 6226235 
23/6/2022,, SIN DATOS, DESPISTE, SIN LESIONADOS, JUEVES, 17, LAVALLEJA, SIN DATOS, 1, 662135, 6176545 
28/2/2022,, DR. MANUEL FERRERIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 23, SORIANO, MERCEDES, 1, 404375, 6320335 
11/2/2022,, SIN DATOS, DESPISTE, LEVE, VIERNES, 19, LAVALLEJA, SIN DATOS, 1, 694895, 6219805 
3/6/2022,, LIEJA, DESPISTE, LEVE, VIERNES, 11, MONTEVIDEO, MONTEVIDEO, 1, 586885, 6139995 
11/3/2022,, AVENIDA GENERAL RIVERA, DESPISTE, SIN LESIONADOS, VIERNES, 17, MONTEVIDEO, MONTEVIDEO, 1, 576710, 6137395 
28/5/2022,, DOCTOR VICTORINO PEREYRA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, TACUAREMBO, TACUAREMBO, 1, 597405, 6490950 
25/6/2022,, VIA_PUBLICA, ATROPELLO DE ANIMALES, SIN LESIONADOS, SÁBADO, 6, TREINTA Y TRES, VERGARA, 1, 784450, 6350665 
5/2/2022,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 12, CANELONES, BARROS BLANCOS, 1, 590025, 6152860 
5/2/2022,, CAMINO A NUEVA CARRARA, CAÍDA, LEVE, SÁBADO, 14, MALDONADO, SIN DATOS, 1, 659735, 6152635 
20/5/2022,, PITAGORAS, ATROPELLO DE PEATÓN, LEVE, VIERNES, 8, MONTEVIDEO, MONTEVIDEO, 1, 582105, 6139930 
8/3/2022,, VIA_PUBLICA, DESPISTE, SIN LESIONADOS, MARTES, 10, CANELONES, CANELONES, 1, 565895, 6179535 
21/4/2022,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 6, DURAZNO, SIN DATOS, 1, 548405, 6299400 
7/5/2022,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 16, SAN JOSE, SIN DATOS, 1, 525315, 6174440 
12/4/2022,, FRANCISCO RODRIGUEZ NOLLA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 14, PAYSANDU, CHACRAS DE PAYSANDU, 1, 401415, 6425815 
23/5/2022,, SIN DATOS, DESPISTE, SIN LESIONADOS, LUNES, 19, ARTIGAS, SIN DATOS, 1, 538465, 6618665 
