Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
18/10/2022,, AVENIDA MILLAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 8, MONTEVIDEO, MONTEVIDEO, 1, 571875, 6144520 
17/12/2022,, FRUCTUOSO RIVERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 6, MALDONADO, MALDONADO, 1, 687730, 6135525 
13/12/2022,, BARON DE MAUA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 19, CERRO LARGO, MELO, 1, 768435, 6414500 
31/10/2022,, DIECIOCHO DE DICIEMBRE, CAÍDA, LEVE, LUNES, 21, MONTEVIDEO, MONTEVIDEO, 1, 581825, 6138110 
11/9/2022,, ZAPICAN, ATROPELLO DE ANIMALES, LEVE, DOMINGO, 20, RIO NEGRO, FRAY BENTOS, 1, 380395, 6332990 
24/11/2022,, CALLE 35, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 7, CANELONES, ESTACION LA FLORESTA, 1, 620685, 6155080 
16/7/2022,, ANDRESITO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 8, FLORIDA, FLORIDA, 1, 571820, 6228265 
28/9/2022,, AVENIDA AL PARQUE --BARRA DE CARRASCO--, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, MIÉRCOLES, 15, CANELONES, BARRA DE CARRASCO, 1, 589110, 6140375 
31/12/2022,, LUIS ALBERTO DE HERRERA, CAÍDA, LEVE, SÁBADO, 19, MALDONADO, MALDONADO, 1, 686865, 6138135 
9/8/2022,, DOCTOR FLORENTINO FELIPPONE, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 17, PAYSANDU, PAYSANDU, 1, 398805, 6422620 
19/7/2022,, C. CATALOGNE, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 8, TACUAREMBO, TACUAREMBO, 1, 595560, 6490855 
13/8/2022,, DOCTOR BALTASAR BRUM, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 10, PAYSANDU, PAYSANDU, 1, 397135, 6423025 
26/8/2022,, AVENIDA BRASIL, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 17, SAN JOSE, SAN JOSE DE MAYO, 1, 525605, 6199215 
14/10/2022,, TREINTA Y TRES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 19, COLONIA, NUEVA HELVECIA, 1, 478525, 6206305 
30/9/2022,, AVENIDA CONCORDIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 20, SALTO, SIN DATOS, 1, 413230, 6528880 
31/7/2022,, AVENIDA JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 18, CANELONES, SIN DATOS, 1, 571155, 6157035 
21/8/2022,, SIN DATOS, DESPISTE, SIN LESIONADOS, DOMINGO, 5, ARTIGAS, BELLA UNION, 1, 443040, 6652865 
2/10/2022,, JOSE DODERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 13, MALDONADO, MALDONADO, 1, 686395, 6135335 
2/9/2022,, PAN DE AZUCAR, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 22, MONTEVIDEO, MONTEVIDEO, 1, 579180, 6140750 
23/10/2022,, AVENIDA GENERAL EUGENIO GARZON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 17, MONTEVIDEO, MONTEVIDEO, 1, 571145, 6148225 
29/11/2022,, CAMINO LUIS EDUARDO PEREZ, DESPISTE, LEVE, MARTES, 3, MONTEVIDEO, SIN DATOS, 1, 563050, 6149190 
10/8/2022,, SIN DATOS, ATROPELLO DE ANIMALES, SIN LESIONADOS, MIÉRCOLES, 7, SALTO, SIN DATOS, 1, 420795, 6534840 
26/10/2022,, VIA_PUBLICA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 18, CANELONES, COLONIA NICOLICH, 1, 588100, 6147285 
4/12/2022,, AGAPITO PARABERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 1, MALDONADO, MALDONADO, 1, 688550, 6136755 
25/7/2022,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 21, CERRO LARGO, MELO, 1, 766620, 6415795 
31/7/2022,, SIN DATOS, CAÍDA, LEVE, DOMINGO, 20, COLONIA, CARMELO, 1, 382325, 6235410 
3/10/2022,, SIN DATOS, DESPISTE, LEVE, LUNES, 13, CANELONES, SIN DATOS, 1, 607035, 6187520 
14/8/2022,, JUAN BENITO BLANCO, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 16, MONTEVIDEO, MONTEVIDEO, 1, 577855, 6136335 
3/11/2022,, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 13, MONTEVIDEO, MONTEVIDEO, 1, 576355, 6140955 
21/11/2022,, AVENIDA DOCTOR CARLOS MARIA RAMIREZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 9, MONTEVIDEO, MONTEVIDEO, 1, 569515, 6141235 
22/12/2022,, SARANDI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 19, MALDONADO, MALDONADO, 1, 686590, 6135735 
7/10/2022,, GENERAL JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 16, TREINTA Y TRES, TREINTA Y TRES, 1, 743465, 6320355 
23/8/2022,, RAFAEL, DESPISTE, LEVE, MARTES, 16, MONTEVIDEO, MONTEVIDEO, 1, 579845, 6146265 
9/11/2022,, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 21, LAVALLEJA, SOLIS DE MATAOJO, 1, 640610, 6170180 
