Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
19/7/2020,, SIN DATOS, CAÍDA, GRAVE, DOMINGO, 19, MONTEVIDEO, MONTEVIDEO, 1, 586075, 6150885 
30/7/2020,, CARLOS P. PUIG, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 17, SORIANO, DOLORES, 1, 386790, 6289700 
2/8/2020,, CAMINO DURAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 20, MONTEVIDEO, MONTEVIDEO, 1, 570825, 6148890 
10/8/2020,, SIN DATOS, CAÍDA, LEVE, LUNES, 7, FLORIDA, SIN DATOS, 1, 632330, 6251125 
16/8/2020,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, DOMINGO, 19, RIO NEGRO, SIN DATOS, 1, 466965, 6352475 
19/8/2020,, SIN DATOS, DESPISTE, LEVE, MIÉRCOLES, 19, COLONIA, SIN DATOS, 1, 462540, 6198715 
21/8/2020,, SIN DATOS, CAÍDA, LEVE, VIERNES, 5, ARTIGAS, SIN DATOS, 1, 452510, 6641130 
5/7/2020,, SIN DATOS, DESPISTE, LEVE, DOMINGO, 7, PAYSANDU, SIN DATOS, 1, 422950, 6399105 
7/7/2020,, CAMINO A LA TORTUGA, DESPISTE, LEVE, MARTES, 7, SAN JOSE, SIN DATOS, 1, 536035, 6169500 
8/7/2020,, SIN DATOS, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 13, SAN JOSE, SIN DATOS, 1, 499120, 6194250 
31/7/2020,, LAFAYETTE, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, MONTEVIDEO, MONTEVIDEO, 1, 572410, 6145180 
26/8/2020,, SIN DATOS, CAÍDA, SIN LESIONADOS, MIÉRCOLES, 21, LAVALLEJA, SIN DATOS, 1, 707075, 6260090 
1/7/2020,, SIN DATOS, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 2, CANELONES, SIN DATOS, 1, 610305, 6193560 
