Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
2/2/2023,, ERASMO BOGORJA, CAÍDA, LEVE, JUEVES, 16, CERRO LARGO, MELO, 1, 766660, 6413410 
2/2/2023,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 21, MONTEVIDEO, MONTEVIDEO, 1, 582110, 6149705 
23/2/2023,, CRISTOBAL COLON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 19, SORIANO, MERCEDES, 1, 404075, 6320270 
8/4/2023,, AVENIDA DE LAS INSTRUCCIONES, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 20, MONTEVIDEO, MONTEVIDEO, 1, 573625, 6144555 
6/4/2023,, DIECINUEVE DE ABRIL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 11, COLONIA, CARMELO, 1, 381510, 6237680 
2/2/2023,, MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 10, DURAZNO, DURAZNO, 1, 544165, 6306050 
8/3/2023,, BOULEVARD GENERAL ARTIGAS, DESPISTE, LEVE, MIÉRCOLES, 15, MONTEVIDEO, MONTEVIDEO, 1, 576200, 6141075 
31/3/2023,, RUTA 79 A 3 KM DE RUTA 45, DESPISTE, LEVE, VIERNES, 7, SAN JOSE, SIN DATOS, 1, 546460, 6197415 
11/4/2023,, SIN DATOS, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, MARTES, 18, FLORIDA, SIN DATOS, 1, 569845, 6236560 
13/2/2023,, DAMASO ANTONIO LARRAÑAGA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 12, CERRO LARGO, MELO, 1, 767850, 6414630 
30/3/2023,, AVENIDA BALTASAR BRUM, DESPISTE, LEVE, JUEVES, 8, ARTIGAS, ARTIGAS, 1, 551635, 6636075 
17/5/2023,, VIA_PUBLICA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 9, ARTIGAS, SIN DATOS, 1, 442150, 6628545 
22/2/2023,, UTE 5, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 15, MALDONADO, PUNTA BALLENA, 1, 679090, 6137760 
4/4/2023,, LA CUMPARSITA, CAÍDA, LEVE, MARTES, 20, MONTEVIDEO, MONTEVIDEO, 1, 574800, 6136180 
18/4/2023,, WILSON FERREIRA ALDUNATE, ATROPELLO DE PEATÓN, SIN LESIONADOS, MARTES, 19, SORIANO, MERCEDES, 1, 403205, 6320390 
22/5/2023,, CAMINO A PUBLO GERONA, ATROPELLO DE PEATÓN, LEVE, LUNES, 19, MALDONADO, SIN DATOS, 1, 660670, 6151445 
25/3/2023,, SIN DATOS, DESPISTE, GRAVE, SÁBADO, 5, CANELONES, PANDO, 1, 596935, 6158305 
8/4/2023,, CAMINO MANUEL MARIA FLORES, CAÍDA, LEVE, SÁBADO, 20, MONTEVIDEO, SIN DATOS, 1, 559745, 6146970 
20/1/2023,, ROBERTO YOUNG, ATROPELLO DE ANIMALES, LEVE, VIERNES, 8, RIO NEGRO, FRAY BENTOS, 1, 377545, 6333815 
12/4/2023,, CIUDAD DE YOUNG, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 8, PAYSANDU, PAYSANDU, 1, 399965, 6422280 
24/5/2023,, TREINTA Y TRES ORIENTALES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 8, PAYSANDU, PAYSANDU, 1, 397785, 6424030 
3/3/2023,, ANSINA, ATROPELLO DE ANIMALES, SIN LESIONADOS, VIERNES, 21, COLONIA, CARMELO, 1, 381020, 6238365 
19/3/2023,, ESC. EDUARDO MALAQUINA UGOLINI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 23, SALTO, SALTO, 1, 407345, 6527305 
23/1/2023,, PARALELA A RUTA TREINTA Y NUEVE, DESPISTE, LEVE, LUNES, 5, MALDONADO, CANTERAS DE MARELLI, 1, 688165, 6142195 
16/4/2023,, VIA_PUBLICA, DESPISTE, SIN LESIONADOS, DOMINGO, 6, CANELONES, SIN DATOS, 1, 603365, 6160090 
23/1/2023,, AV. FRANCIA, CAÍDA, LEVE, LUNES, 12, MALDONADO, PUNTA DEL ESTE, 1, 688290, 6131070 
1/3/2023,, REP. DEL PARAGUAY, CAÍDA, SIN LESIONADOS, MIÉRCOLES, 22, CERRO LARGO, MELO, 1, 768115, 6413420 
4/6/2023,, AVENIDA JOSE BELLONI, ATROPELLO DE PEATÓN, GRAVE, DOMINGO, 22, MONTEVIDEO, MONTEVIDEO, 1, 578735, 6146930 
14/1/2023,, SIN DATOS, DESPISTE, LEVE, SÁBADO, 3, LAVALLEJA, SIN DATOS, 1, 643760, 6200945 
