Departamento,Gravedad,X,Y
CANELONES,GRAVE,589870.0,6152735.0
ROCHA,LEVE,791265.0,6208880.0
MONTEVIDEO,LEVE,569365.0,6146355.0
MALDONADO,SIN LESIONADOS,695830.0,6134410.0
ROCHA,LEVE,817020.0,6232855.0
FLORIDA,SIN LESIONADOS,562440.0,6268250.0
CANELONES,LEVE,606900.0,6150540.0
CANELONES,GRAVE,571040.0,6154195.0
MALDONADO,LEVE,690840.0,6131610.0
MALDONADO,GRAVE,687735.0,6135590.0
DURAZNO,LEVE,543640.0,6305605.0
LAVALLEJA,LEVE,661465.0,6197195.0
MONTEVIDEO,SIN LESIONADOS,572280.0,6142235.0
LAVALLEJA,SIN LESIONADOS,659330.0,6194850.0
MONTEVIDEO,SIN LESIONADOS,572990.0,6143275.0
CANELONES,LEVE,586310.0,6158985.0
SAN JOSE,LEVE,533245.0,6207705.0
FLORIDA,LEVE,570600.0,6245235.0
ROCHA,SIN LESIONADOS,760275.0,6161090.0
RIO NEGRO,LEVE,378165.0,6334480.0
MONTEVIDEO,LEVE,575415.0,6141620.0
CANELONES,LEVE,589475.0,6143735.0
RIVERA,LEVE,638430.0,6575775.0
RIVERA,LEVE,721495.0,6483400.0
COLONIA,SIN LESIONADOS,479180.0,6207245.0
MONTEVIDEO,LEVE,575845.0,6138170.0
CANELONES,LEVE,595310.0,6156460.0
PAYSANDU,LEVE,398680.0,6428200.0
RIVERA,GRAVE,633805.0,6583490.0
SALTO,SIN LESIONADOS,413990.0,6519435.0
CANELONES,GRAVE,556920.0,6171705.0
ARTIGAS,LEVE,551255.0,6636285.0
MONTEVIDEO,SIN LESIONADOS,567075.0,6144705.0
FLORIDA,LEVE,570005.0,6226645.0
TREINTA Y TRES,SIN LESIONADOS,744875.0,6318470.0
RIO NEGRO,LEVE,379450.0,6333225.0
RIO NEGRO,LEVE,441375.0,6381885.0
MONTEVIDEO,LEVE,577820.0,6141965.0
SALTO,SIN LESIONADOS,408795.0,6528535.0
ROCHA,LEVE,830315.0,6259230.0
MALDONADO,LEVE,694865.0,6136590.0
PAYSANDU,LEVE,497905.0,6420525.0
CANELONES,SIN LESIONADOS,618780.0,6153965.0
CANELONES,SIN LESIONADOS,571130.0,6190480.0
PAYSANDU,LEVE,397615.0,6423740.0
TACUAREMBO,SIN LESIONADOS,596300.0,6490150.0
MONTEVIDEO,SIN LESIONADOS,576570.0,6145710.0
MONTEVIDEO,LEVE,575105.0,6142625.0
MALDONADO,LEVE,663500.0,6144555.0
MALDONADO,LEVE,687070.0,6128745.0
PAYSANDU,LEVE,397750.0,6425870.0
ROCHA,SIN LESIONADOS,759005.0,6163100.0
CANELONES,LEVE,594660.0,6145830.0
CERRO LARGO,SIN LESIONADOS,809810.0,6399790.0
MONTEVIDEO,LEVE,585180.0,6140080.0
SORIANO,LEVE,404945.0,6319140.0
MALDONADO,LEVE,690735.0,6148170.0
RIO NEGRO,SIN LESIONADOS,441120.0,6382160.0
PAYSANDU,LEVE,399100.0,6424155.0
MONTEVIDEO,LEVE,579690.0,6149210.0
COLONIA,SIN LESIONADOS,370530.0,6250960.0
TREINTA Y TRES,LEVE,743465.0,6320355.0
CANELONES,LEVE,585345.0,6165210.0
PAYSANDU,LEVE,401575.0,6424460.0
MALDONADO,SIN LESIONADOS,662240.0,6150275.0
MONTEVIDEO,SIN LESIONADOS,582630.0,6139345.0
COLONIA,LEVE,467385.0,6203760.0
SALTO,LEVE,410870.0,6524680.0
SALTO,SIN LESIONADOS,411070.0,6527100.0
CANELONES,GRAVE,605795.0,6150890.0
MALDONADO,LEVE,690215.0,6148210.0
CANELONES,GRAVE,573385.0,6159855.0
CERRO LARGO,LEVE,699645.0,6360945.0
SORIANO,SIN LESIONADOS,376490.0,6274895.0
MALDONADO,SIN LESIONADOS,695595.0,6134285.0
SAN JOSE,LEVE,527665.0,6172895.0
SALTO,LEVE,408270.0,6527400.0
MONTEVIDEO,LEVE,573300.0,6141575.0
SORIANO,SIN LESIONADOS,404135.0,6320485.0
MONTEVIDEO,GRAVE,573105.0,6145830.0
MONTEVIDEO,LEVE,582510.0,6149595.0
TACUAREMBO,SIN LESIONADOS,623270.0,6508935.0
SAN JOSE,LEVE,523060.0,6200355.0
MONTEVIDEO,LEVE,572820.0,6145155.0
COLONIA,LEVE,457060.0,6195995.0
MONTEVIDEO,LEVE,574905.0,6136160.0
RIO NEGRO,LEVE,389740.0,6329240.0
SALTO,LEVE,505235.0,6561120.0
CANELONES,LEVE,596055.0,6205845.0
SAN JOSE,LEVE,534120.0,6167675.0
MONTEVIDEO,LEVE,568215.0,6145135.0
COLONIA,LEVE,423000.0,6186340.0
MONTEVIDEO,GRAVE,576045.0,6144890.0
MONTEVIDEO,LEVE,574415.0,6149420.0
MONTEVIDEO,LEVE,574645.0,6137120.0
COLONIA,SIN LESIONADOS,443780.0,6208015.0
MONTEVIDEO,LEVE,586290.0,6151060.0
TREINTA Y TRES,LEVE,744245.0,6320020.0
FLORES,SIN LESIONADOS,491560.0,6242145.0
CANELONES,SIN LESIONADOS,596935.0,6158305.0
MONTEVIDEO,LEVE,575870.0,6136755.0
SAN JOSE,LEVE,555425.0,6153215.0
SORIANO,LEVE,404335.0,6320530.0
MONTEVIDEO,GRAVE,575315.0,6137670.0
MONTEVIDEO,LEVE,570160.0,6146660.0
FLORIDA,LEVE,572500.0,6227835.0
MONTEVIDEO,LEVE,573740.0,6144690.0
ARTIGAS,GRAVE,551890.0,6634615.0
COLONIA,LEVE,480870.0,6190875.0
CERRO LARGO,LEVE,838550.0,6387305.0
MONTEVIDEO,LEVE,575920.0,6141780.0
SORIANO,LEVE,387570.0,6289225.0
MALDONADO,LEVE,688100.0,6131375.0
CANELONES,LEVE,565925.0,6182535.0
MONTEVIDEO,LEVE,577730.0,6144435.0
CANELONES,LEVE,594470.0,6145890.0
CANELONES,GRAVE,619765.0,6157985.0
MALDONADO,LEVE,687170.0,6134315.0
ARTIGAS,LEVE,458265.0,6633210.0
CANELONES,LEVE,571790.0,6156740.0
DURAZNO,SIN LESIONADOS,544110.0,6307240.0
ROCHA,SIN LESIONADOS,789610.0,6211305.0
MALDONADO,SIN LESIONADOS,655350.0,6143920.0
COLONIA,LEVE,421940.0,6188580.0
MONTEVIDEO,GRAVE,560015.0,6150620.0
CANELONES,LEVE,566055.0,6179235.0
MONTEVIDEO,LEVE,580095.0,6144730.0
MONTEVIDEO,LEVE,566615.0,6140820.0
MONTEVIDEO,LEVE,582915.0,6138385.0
MALDONADO,LEVE,688070.0,6133280.0
MALDONADO,LEVE,684715.0,6137550.0
MONTEVIDEO,SIN LESIONADOS,574875.0,6143035.0
ROCHA,SIN LESIONADOS,763490.0,6170260.0
MALDONADO,LEVE,660725.0,6140220.0
SAN JOSE,LEVE,534240.0,6167530.0
MALDONADO,SIN LESIONADOS,688945.0,6131445.0
CANELONES,SIN LESIONADOS,565800.0,6179635.0
MONTEVIDEO,SIN LESIONADOS,576700.0,6138520.0
MONTEVIDEO,LEVE,567230.0,6144660.0
MALDONADO,LEVE,687580.0,6132460.0
CERRO LARGO,LEVE,768140.0,6444355.0
CANELONES,SIN LESIONADOS,578355.0,6191850.0
MALDONADO,LEVE,685240.0,6137820.0
CANELONES,LEVE,571850.0,6158735.0
CANELONES,SIN LESIONADOS,571840.0,6159905.0
MONTEVIDEO,LEVE,575195.0,6137825.0
MONTEVIDEO,LEVE,578140.0,6137230.0
MALDONADO,LEVE,690635.0,6132150.0
PAYSANDU,SIN LESIONADOS,398640.0,6423810.0
PAYSANDU,LEVE,408840.0,6415785.0
CERRO LARGO,LEVE,767050.0,6416285.0
COLONIA,SIN LESIONADOS,422305.0,6187070.0
PAYSANDU,LEVE,397655.0,6424390.0
MALDONADO,LEVE,687490.0,6135685.0
MALDONADO,GRAVE,686985.0,6136110.0
DURAZNO,GRAVE,628645.0,6311400.0
SALTO,SIN LESIONADOS,409325.0,6527505.0
MONTEVIDEO,LEVE,573800.0,6137935.0
MONTEVIDEO,LEVE,568335.0,6141775.0
MONTEVIDEO,LEVE,576100.0,6138040.0
MALDONADO,LEVE,657330.0,6141020.0
MONTEVIDEO,SIN LESIONADOS,574805.0,6142925.0
CANELONES,LEVE,571645.0,6161970.0
MONTEVIDEO,LEVE,574770.0,6139650.0
CANELONES,SIN LESIONADOS,578180.0,6190855.0
PAYSANDU,LEVE,399065.0,6422775.0
MONTEVIDEO,SIN LESIONADOS,573325.0,6142060.0
MONTEVIDEO,LEVE,580045.0,6144155.0
MALDONADO,LEVE,681865.0,6135210.0
TACUAREMBO,LEVE,597050.0,6491090.0
SALTO,SIN LESIONADOS,407520.0,6526860.0
SORIANO,LEVE,386465.0,6288880.0
COLONIA,LEVE,447940.0,6194355.0
MONTEVIDEO,LEVE,572755.0,6137180.0
MONTEVIDEO,LEVE,576430.0,6138460.0
CANELONES,LEVE,604690.0,6151045.0
CANELONES,LEVE,555755.0,6187675.0
MALDONADO,LEVE,693385.0,6148570.0
MALDONADO,SIN LESIONADOS,687000.0,6134140.0
CERRO LARGO,GRAVE,687020.0,6373595.0
ROCHA,SIN LESIONADOS,744565.0,6181320.0
SALTO,LEVE,415945.0,6527670.0
MONTEVIDEO,LEVE,579940.0,6137155.0
MONTEVIDEO,LEVE,574435.0,6139345.0
ARTIGAS,LEVE,496085.0,6633685.0
SALTO,LEVE,407140.0,6528390.0
ROCHA,SIN LESIONADOS,745120.0,6179615.0
MALDONADO,LEVE,688720.0,6130865.0
SORIANO,SIN LESIONADOS,374325.0,6282080.0
DURAZNO,SIN LESIONADOS,545405.0,6308390.0
PAYSANDU,LEVE,397555.0,6424405.0
MALDONADO,SIN LESIONADOS,688055.0,6129370.0
MONTEVIDEO,LEVE,571260.0,6141785.0
MONTEVIDEO,LEVE,575555.0,6140110.0
MALDONADO,GRAVE,688440.0,6130380.0
MALDONADO,LEVE,686990.0,6134710.0
FLORIDA,LEVE,571965.0,6228220.0
MONTEVIDEO,LEVE,578055.0,6140140.0
MALDONADO,GRAVE,661810.0,6149970.0
RIVERA,LEVE,637845.0,6573405.0
MALDONADO,SIN LESIONADOS,725380.0,6161450.0
MONTEVIDEO,LEVE,574045.0,6138835.0
MONTEVIDEO,SIN LESIONADOS,582135.0,6146075.0
MONTEVIDEO,SIN LESIONADOS,579180.0,6140750.0
MALDONADO,SIN LESIONADOS,688040.0,6134620.0
MALDONADO,LEVE,687075.0,6137095.0
MONTEVIDEO,LEVE,580095.0,6140705.0
MALDONADO,SIN LESIONADOS,688015.0,6130845.0
CANELONES,SIN LESIONADOS,591040.0,6148365.0
MONTEVIDEO,SIN LESIONADOS,577510.0,6149130.0
FLORES,LEVE,490980.0,6240795.0
MALDONADO,LEVE,685430.0,6137900.0
MONTEVIDEO,LEVE,583740.0,6139560.0
MALDONADO,LEVE,690340.0,6148435.0
MONTEVIDEO,SIN LESIONADOS,574090.0,6137010.0
MONTEVIDEO,LEVE,577855.0,6144410.0
MALDONADO,LEVE,686885.0,6134930.0
TACUAREMBO,LEVE,596135.0,6490990.0
MONTEVIDEO,SIN LESIONADOS,582165.0,6150215.0
MALDONADO,SIN LESIONADOS,695855.0,6134635.0
CANELONES,SIN LESIONADOS,617295.0,6153625.0
TREINTA Y TRES,LEVE,796750.0,6362750.0
DURAZNO,LEVE,543795.0,6305640.0
MALDONADO,LEVE,655800.0,6141760.0
SORIANO,SIN LESIONADOS,402515.0,6320535.0
MONTEVIDEO,LEVE,568265.0,6141795.0
COLONIA,LEVE,477640.0,6189685.0
CANELONES,GRAVE,594475.0,6156560.0
RIVERA,LEVE,638595.0,6576235.0
PAYSANDU,LEVE,433470.0,6420275.0
CANELONES,LEVE,556845.0,6176470.0
RIVERA,SIN LESIONADOS,638860.0,6579435.0
MONTEVIDEO,LEVE,569875.0,6141590.0
CERRO LARGO,LEVE,766435.0,6416100.0
CERRO LARGO,SIN LESIONADOS,768255.0,6469715.0
COLONIA,LEVE,476900.0,6196245.0
MONTEVIDEO,LEVE,559800.0,6148895.0
FLORIDA,GRAVE,585410.0,6276125.0
CANELONES,SIN LESIONADOS,620470.0,6161610.0
MALDONADO,LEVE,678060.0,6138580.0
DURAZNO,LEVE,545180.0,6306660.0
SORIANO,LEVE,402510.0,6320690.0
CERRO LARGO,LEVE,771585.0,6413620.0
MONTEVIDEO,LEVE,575920.0,6141780.0
TACUAREMBO,SIN LESIONADOS,596485.0,6491210.0
MALDONADO,LEVE,686995.0,6136585.0
CANELONES,LEVE,599265.0,6148390.0
ARTIGAS,GRAVE,551885.0,6637115.0
MONTEVIDEO,LEVE,569810.0,6142250.0
MONTEVIDEO,LEVE,582925.0,6139430.0
MALDONADO,SIN LESIONADOS,688135.0,6129455.0
MONTEVIDEO,LEVE,569825.0,6144455.0
CANELONES,LEVE,564605.0,6177890.0
PAYSANDU,SIN LESIONADOS,396640.0,6423775.0
DURAZNO,LEVE,564255.0,6313875.0
CANELONES,LEVE,569540.0,6165255.0
LAVALLEJA,SIN LESIONADOS,641430.0,6175225.0
MALDONADO,LEVE,688100.0,6131375.0
MONTEVIDEO,SIN LESIONADOS,572575.0,6137110.0
MONTEVIDEO,LEVE,575290.0,6140815.0
SALTO,LEVE,413910.0,6526975.0
COLONIA,SIN LESIONADOS,447650.0,6200650.0
LAVALLEJA,LEVE,662755.0,6195560.0
SAN JOSE,LEVE,526030.0,6199120.0
MALDONADO,LEVE,685240.0,6137820.0
MALDONADO,SIN LESIONADOS,646690.0,6154195.0
ROCHA,LEVE,789290.0,6227290.0
FLORIDA,GRAVE,573575.0,6226510.0
RIVERA,GRAVE,639315.0,6579635.0
MALDONADO,LEVE,687665.0,6131865.0
MONTEVIDEO,LEVE,576150.0,6137400.0
COLONIA,LEVE,423795.0,6186735.0
PAYSANDU,SIN LESIONADOS,419230.0,6464580.0
RIO NEGRO,LEVE,380715.0,6332505.0
CERRO LARGO,GRAVE,768580.0,6414580.0
SALTO,SIN LESIONADOS,412485.0,6538245.0
CERRO LARGO,GRAVE,771675.0,6459790.0
RIVERA,GRAVE,637930.0,6582570.0
MONTEVIDEO,SIN LESIONADOS,572915.0,6140835.0
MALDONADO,LEVE,688335.0,6132070.0
ROCHA,LEVE,734960.0,6162220.0
MALDONADO,LEVE,687840.0,6131695.0
MALDONADO,LEVE,687020.0,6136810.0
TACUAREMBO,SIN LESIONADOS,590555.0,6462225.0
CERRO LARGO,LEVE,766785.0,6414920.0
SALTO,SIN LESIONADOS,409410.0,6525895.0
SALTO,LEVE,408195.0,6528585.0
MONTEVIDEO,SIN LESIONADOS,575735.0,6141060.0
MONTEVIDEO,LEVE,564470.0,6151225.0
PAYSANDU,SIN LESIONADOS,409365.0,6416020.0
COLONIA,LEVE,459530.0,6189225.0
COLONIA,SIN LESIONADOS,478780.0,6206095.0
MALDONADO,SIN LESIONADOS,686820.0,6132695.0
SORIANO,LEVE,404390.0,6321145.0
MONTEVIDEO,LEVE,580605.0,6140825.0
MALDONADO,SIN LESIONADOS,688485.0,6131935.0
COLONIA,GRAVE,422930.0,6185485.0
MALDONADO,LEVE,701615.0,6137185.0
CANELONES,LEVE,590605.0,6146525.0
CANELONES,LEVE,589870.0,6152735.0
SALTO,SIN LESIONADOS,408760.0,6527110.0
MALDONADO,LEVE,689720.0,6132600.0
MALDONADO,LEVE,708355.0,6151670.0
TREINTA Y TRES,LEVE,743115.0,6319780.0
MALDONADO,SIN LESIONADOS,689105.0,6130375.0
COLONIA,LEVE,372635.0,6246405.0
MONTEVIDEO,LEVE,579790.0,6143270.0
CANELONES,LEVE,569185.0,6157595.0
ROCHA,LEVE,822395.0,6243250.0
MALDONADO,LEVE,695845.0,6148925.0
SORIANO,LEVE,386490.0,6290005.0
MALDONADO,SIN LESIONADOS,668580.0,6140690.0
MALDONADO,LEVE,678060.0,6138580.0
CANELONES,LEVE,566510.0,6179785.0
MALDONADO,LEVE,688490.0,6136730.0
ROCHA,LEVE,761440.0,6273890.0
LAVALLEJA,SIN LESIONADOS,662265.0,6195290.0
SAN JOSE,LEVE,526380.0,6200990.0
LAVALLEJA,LEVE,662095.0,6194170.0
CERRO LARGO,LEVE,766285.0,6414890.0
MONTEVIDEO,LEVE,578530.0,6146890.0
RIO NEGRO,LEVE,379180.0,6334370.0
PAYSANDU,SIN LESIONADOS,398010.0,6423550.0
MONTEVIDEO,LEVE,578700.0,6140585.0
PAYSANDU,LEVE,398745.0,6423800.0
FLORIDA,SIN LESIONADOS,561475.0,6267305.0
CERRO LARGO,LEVE,836855.0,6387320.0
CANELONES,LEVE,595220.0,6157375.0
TREINTA Y TRES,LEVE,744930.0,6320245.0
MONTEVIDEO,LEVE,574420.0,6138800.0
FLORES,GRAVE,509215.0,6291110.0
FLORES,LEVE,509475.0,6292385.0
CANELONES,LEVE,565805.0,6179740.0
SAN JOSE,LEVE,532990.0,6198430.0
COLONIA,SIN LESIONADOS,478780.0,6206095.0
RIVERA,LEVE,640565.0,6579445.0
LAVALLEJA,SIN LESIONADOS,661600.0,6194940.0
COLONIA,SIN LESIONADOS,424965.0,6245045.0
TACUAREMBO,GRAVE,596305.0,6489845.0
PAYSANDU,LEVE,397985.0,6429595.0
ARTIGAS,LEVE,551160.0,6635540.0
MONTEVIDEO,GRAVE,574650.0,6137800.0
MONTEVIDEO,LEVE,573470.0,6141460.0
CANELONES,LEVE,595160.0,6157870.0
MALDONADO,SIN LESIONADOS,695000.0,6134860.0
CANELONES,LEVE,609840.0,6161200.0
SAN JOSE,LEVE,558525.0,6152065.0
MALDONADO,GRAVE,686405.0,6134735.0
TACUAREMBO,LEVE,598350.0,6489245.0
PAYSANDU,LEVE,399720.0,6424755.0
CERRO LARGO,LEVE,766490.0,6414960.0
CANELONES,LEVE,577120.0,6173105.0
MALDONADO,LEVE,688045.0,6134630.0
MONTEVIDEO,LEVE,581220.0,6139125.0
MONTEVIDEO,LEVE,574235.0,6137750.0
CANELONES,LEVE,590825.0,6141850.0
RIVERA,GRAVE,636565.0,6582065.0
MALDONADO,LEVE,685520.0,6137940.0
MONTEVIDEO,GRAVE,573710.0,6137810.0
MONTEVIDEO,LEVE,577600.0,6138825.0
CERRO LARGO,SIN LESIONADOS,754145.0,6418930.0
CANELONES,LEVE,571970.0,6157820.0
SORIANO,LEVE,404260.0,6319010.0
TACUAREMBO,SIN LESIONADOS,596565.0,6490860.0
MONTEVIDEO,SIN LESIONADOS,577040.0,6140280.0
MONTEVIDEO,LEVE,573525.0,6144850.0
SORIANO,LEVE,403435.0,6320335.0
CERRO LARGO,SIN LESIONADOS,830995.0,6389370.0
MONTEVIDEO,LEVE,565040.0,6157655.0
CANELONES,LEVE,568005.0,6159155.0
SALTO,LEVE,408315.0,6528575.0
MONTEVIDEO,LEVE,579060.0,6150360.0
MONTEVIDEO,LEVE,576635.0,6143275.0
MALDONADO,LEVE,687060.0,6135525.0
CANELONES,LEVE,570175.0,6153300.0
MONTEVIDEO,LEVE,586025.0,6139170.0
MONTEVIDEO,LEVE,576510.0,6141290.0
SAN JOSE,SIN LESIONADOS,551430.0,6155000.0
TACUAREMBO,SIN LESIONADOS,596085.0,6490500.0
CERRO LARGO,LEVE,839335.0,6388465.0
MONTEVIDEO,LEVE,573855.0,6137310.0
CERRO LARGO,LEVE,771050.0,6456860.0
MONTEVIDEO,LEVE,585230.0,6139955.0
MALDONADO,LEVE,687445.0,6136055.0
MONTEVIDEO,LEVE,583550.0,6148605.0
CANELONES,LEVE,606055.0,6151635.0
DURAZNO,LEVE,544675.0,6307395.0
MONTEVIDEO,GRAVE,567210.0,6139455.0
MALDONADO,LEVE,688030.0,6135385.0
SORIANO,SIN LESIONADOS,375985.0,6270460.0
ROCHA,SIN LESIONADOS,734015.0,6164045.0
FLORIDA,SIN LESIONADOS,624410.0,6225785.0
SALTO,LEVE,405830.0,6524520.0
