Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
27/4/2021,, SIN DATOS, DESPISTE, SIN LESIONADOS, MARTES, 10, SAN JOSE, SIN DATOS, 1, 538325, 6164050 
23/5/2021,, C. CATALOGNE, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 11, TACUAREMBO, TACUAREMBO, 1, 596375, 6490085 
7/1/2021,, HOCQUART, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 14, MONTEVIDEO, MONTEVIDEO, 1, 575525, 6138905 
27/6/2021,, RUTA INTERBALNEARIA, DESPISTE, SIN LESIONADOS, DOMINGO, 12, MALDONADO, SOLIS, 1, 648690, 6149470 
27/3/2021,, VIA_PUBLICA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 12, SAN JOSE, SAN JOSE DE MAYO, 1, 526910, 6200475 
29/6/2021,, SIN DATOS, DESPISTE, GRAVE, MARTES, 15, CERRO LARGO, SIN DATOS, 1, 767955, 6441100 
2/6/2021,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 18, CANELONES, SANTA LUCIA, 1, 555945, 6187420 
23/6/2021,, SIN DATOS, DESPISTE, LEVE, MIÉRCOLES, 17, FLORIDA, SIN DATOS, 1, 626590, 6241335 
1/3/2021,, RINCON, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, CANELONES, SANTA LUCIA, 1, 556675, 6187235 
20/4/2021,, AVENIDA DANIEL ARMAND UGON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 12, COLONIA, SIN DATOS, 1, 474440, 6198550 
7/4/2021,, SIN DATOS, CAÍDA, LEVE, MIÉRCOLES, 14, MONTEVIDEO, MONTEVIDEO, 1, 586890, 6151395 
22/5/2021,, AVENIDA WILSON FERREIRA ALDUNATE, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 11, CANELONES, PASO CARRASCO, 1, 586945, 6142230 
18/2/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 5, CANELONES, PASO PALOMEQUE, 1, 567545, 6179915 
20/3/2021,, AGAPITO PARABERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 20, MALDONADO, MALDONADO, 1, 688080, 6136645 
29/3/2021,, FRANCISCO VAZQUEZ CORES, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 15, MONTEVIDEO, MONTEVIDEO, 1, 578300, 6142010 
7/6/2021,, JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 20, CANELONES, SAN RAMON, 1, 595930, 6204745 
12/3/2021,, MARTINEZ TRUEBA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 20, MONTEVIDEO, MONTEVIDEO, 1, 574655, 6136540 
6/5/2021,, AVENIDA OCHO DE OCTUBRE, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 17, MONTEVIDEO, MONTEVIDEO, 1, 579180, 6142075 
29/6/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 14, TREINTA Y TRES, SIN DATOS, 1, 797565, 6363850 
1/1/2021,, AV. ORLANDO PEDRAGOSA SIERRA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 1, MALDONADO, PUNTA DEL ESTE, 1, 688410, 6131040 
20/2/2021,, NUEVA PALMIRA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 13, MONTEVIDEO, MONTEVIDEO, 1, 575315, 6138980 
22/4/2021,, RUTA NACIONAL OCHO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 21, MONTEVIDEO, MONTEVIDEO, 1, 584460, 6149215 
7/6/2021,, AVENIDA GENERAL EUGENIO GARZON, ATROPELLO DE ANIMALES, LEVE, LUNES, 8, MONTEVIDEO, MONTEVIDEO, 1, 571170, 6145025 
17/4/2021,, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 8, MONTEVIDEO, MONTEVIDEO, 1, 573785, 6144000 
18/2/2021,, PAYSANDU, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 8, MONTEVIDEO, MONTEVIDEO, 1, 574150, 6137535 
1/3/2021,, DR. MANUEL FERRERIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, SORIANO, MERCEDES, 1, 404750, 6320405 
16/5/2021,, RIVERA, CAÍDA, LEVE, DOMINGO, 12, CANELONES, SANTA LUCIA, 1, 556455, 6186850 
22/6/2021,, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 16, PAYSANDU, PAYSANDU, 1, 398555, 6424025 
13/4/2021,, AVENIDA JOSE PEDRO VARELA, CAÍDA, LEVE, MARTES, 17, LAVALLEJA, MINAS, 1, 663240, 6195845 
4/5/2021,, SIN DATOS, DESPISTE, SIN LESIONADOS, MARTES, 6, DURAZNO, SIN DATOS, 1, 550365, 6335490 
18/5/2021,, CERRITO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 11, MONTEVIDEO, MONTEVIDEO, 1, 572445, 6137165 
11/6/2021,, CMNO. PERUGORRÌA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 15, CANELONES, SIN DATOS, 1, 568330, 6157090 
2/4/2021,, AV. E. FRUGONI ESQ.M. ORIBE, DESPISTE, LEVE, VIERNES, 23, DURAZNO, DURAZNO, 1, 543855, 6305550 
26/4/2021,, AV. CARLOS SEIJO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, MALDONADO, SAN CARLOS, 1, 689730, 6147055 
7/5/2021,, JOSE ENRIQUE RODO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 13, COLONIA, JUAN LACAZE, 1, 459765, 6189530 
13/5/2021,, EDUARDO VICTOR HAEDO, CAÍDA, LEVE, JUEVES, 18, SORIANO, MERCEDES, 1, 404020, 6319060 
3/3/2021,, FLORES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 12, SAN JOSE, SAN JOSE DE MAYO, 1, 527655, 6200790 
25/5/2021,, EMANCIPACION, CAÍDA, LEVE, MARTES, 19, MONTEVIDEO, MONTEVIDEO, 1, 571785, 6142900 
17/5/2021,, AVELLANEDA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 3, MONTEVIDEO, MONTEVIDEO, 1, 578755, 6141160 
9/5/2021,, BRASIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 17, SALTO, SALTO, 1, 409915, 6526985 
26/5/2021,, CLARA, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 14, MONTEVIDEO, MONTEVIDEO, 1, 571895, 6144655 
11/6/2021,, AVENIDA JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 18, MALDONADO, MALDONADO, 1, 687030, 6136825 
6/3/2021,, GENERAL JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 18, DURAZNO, DURAZNO, 1, 544245, 6307285 
17/3/2021,, AV. AIGUA Y LOS CRISANTEMOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 7, MALDONADO, MALDONADO, 1, 689140, 6135580 
8/6/2021,, GENERAL GREGORIO SUAREZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 12, MONTEVIDEO, MONTEVIDEO, 1, 576875, 6135540 
21/4/2021,, AVENIDA GENERAL MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 14, LAVALLEJA, MINAS, 1, 661360, 6194760 
7/6/2021,, JOSE BATLLE Y ORDOÑEZ, CAÍDA, LEVE, LUNES, 2, FLORIDA, FLORIDA, 1, 572505, 6226235 
9/3/2021,, SIN DATOS, CAÍDA, LEVE, MARTES, 9, CANELONES, SIN DATOS, 1, 567320, 6173945 
22/2/2021,, VEINTICINCO DE MAYO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 20, TACUAREMBO, TACUAREMBO, 1, 596835, 6491290 
29/4/2021,, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 13, MONTEVIDEO, MONTEVIDEO, 1, 576510, 6141290 
14/6/2021,, JOSE PEDRO RAMIREZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 21, ROCHA, ROCHA, 1, 744825, 6181025 
22/2/2021,, GENERAL APARICIO SARAVIA esq. GENERAL FLORES, COLISIÓN ENTRE VEHÍCULOS, FATAL, LUNES, 12, FLORIDA, FLORIDA, 1, 572915, 6226810 
22/2/2021,, Ruta 5 KM 8.800, ATROPELLO DE PEATÓN, FATAL, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 1, 568300, 6145305 
22/2/2021,, RUTA 10 KM 259.000, COLISIÓN ENTRE VEHÍCULOS, FATAL, LUNES, 16, ROCHA, SIN DATOS, 1, 785975, 6187440 
23/2/2021,, GENERAL LEANDRO GOMEZ ESQ. BOULEVARD GENERAL JOSE G. ARTIGAS, CAÍDA, FATAL, MARTES, 22, PAYSANDU, PAYSANDU, 1, 399175, 6423660 
24/2/2021,, RUTA 16 KM 46.000, DESPISTE, FATAL, MIÉRCOLES, 13, ROCHA, SIN DATOS, 1, 795675, 6244560 
26/2/2021,, AVENIDA JOAQUIN SUAREZ ESQ. MICENAS, COLISIÓN ENTRE VEHÍCULOS, FATAL, VIERNES, 6, MONTEVIDEO, MONTEVIDEO, 1, 573465, 6141860 
27/2/2021,, RUTA 5 KM 387.800, COLISIÓN ENTRE VEHÍCULOS, FATAL, SÁBADO, 21, TACUAREMBO, TACUAREMBO, 1, 597405, 6489305 
7/3/2021,, HIPOLITO YRIGOYEN esq. 1RA PLA AL NORTE DE DOBRICH, CAÍDA, FATAL, DOMINGO, 4, MONTEVIDEO, MONTEVIDEO, 1, 581215, 6140175 
