departamento,gravedad,latitud,longitud
1,0,-34.86497597749418,-56.174912279085106
2,0,-34.84476548822076,-56.02133120826523
7,0,-30.943359324402298,-55.55088509328713
7,0,-31.763478321387094,-54.66130557361867
13,0,-34.275755211618495,-57.22618524722617
1,0,-34.89605148059088,-56.16989552317453
2,0,-34.72950330977451,-55.958960380209874
10,0,-32.27837314895787,-58.07591225162571
7,1,-30.87429863642947,-55.60030156959228
9,0,-31.456635327025364,-57.90527372563205
2,1,-34.59489480710052,-56.37927849675652
8,0,-30.404370006440224,-56.466399182809575
1,0,-34.83774363635437,-56.26639705026371
16,0,-34.09865798760886,-56.24107193104829
6,0,-33.24501304947797,-54.3717375250467
11,0,-33.13300282405056,-58.292364585057484
11,0,-32.69920994489337,-57.62545142290065
1,0,-34.86168386472972,-56.14863465512281
9,0,-31.37414270990191,-57.95911019685793
4,0,-33.7555671533382,-53.43421359245077
3,0,-34.8944210261285,-54.867439212833375
10,0,-32.35219358769673,-57.02226532264587
2,0,-34.749536731394755,-55.70230606496295
2,0,-34.4247076228192,-56.2258946512921
10,0,-32.318504418281144,-58.087700088343446
19,0,-31.72000341086575,-55.98357139428177
1,0,-34.82801126729795,-56.162650686934604
1,0,-34.855937138926066,-56.17839368414249
3,0,-34.82816776774166,-55.212083185389396
3,0,-34.966584802352195,-54.950938835183734
10,0,-32.29930471016296,-58.08603687817035
4,0,-34.641318306814114,-54.17432560220735
2,0,-34.82540702134701,-55.96486263665724
5,0,-32.4960190778818,-53.70293508815984
1,0,-34.87808951772784,-56.06793212526017
12,0,-33.26256599444571,-58.02055895409241
3,0,-34.79085018595332,-54.91524430351613
11,0,-32.69671577584454,-57.628154419865396
10,0,-32.31489618433815,-58.07188230008349
1,0,-34.79621329710011,-56.12886683057525
13,0,-33.87375527446696,-58.39986127796444
6,0,-33.228346826806586,-54.38736299678944
2,0,-34.65148868222008,-56.06867545509578
10,0,-32.31236567201368,-58.0455620498171
3,0,-34.77681279383631,-55.226960401260946
1,0,-34.88492733644869,-56.095759358241835
13,0,-34.30688057298274,-57.35445448718475
9,0,-31.409081753025408,-57.93763760015389
9,0,-31.3872651927506,-57.93531735231313
2,1,-34.778689764201076,-55.843755949238584
3,0,-34.790586914046635,-54.920933695763566
2,1,-34.70070186733918,-56.19871141639851
5,0,-32.87145544773934,-54.86612902604656
12,0,-33.6586529979004,-58.332091983830125
3,0,-34.91505160969395,-54.85891587136101
14,0,-34.58536924493789,-56.69834166193856
9,0,-31.384340610454124,-57.964735067144744
1,0,-34.865536527897234,-56.19804573700021
12,0,-33.25036437097405,-58.02911207999325
1,1,-34.8271841403579,-56.20055012341415
1,0,-34.792517360974834,-56.09808106103073
19,0,-31.547975562677227,-55.70132063947761
14,0,-34.33784453687528,-56.749295335851095
1,0,-34.83329093323661,-56.20360791405474
13,0,-34.37653019105913,-57.46705007190094
1,0,-34.9142447802002,-56.18000249241413
11,0,-33.1700359057355,-58.18255344474905
9,0,-31.083705858289868,-56.9451157621726
2,0,-34.284145512997256,-55.95638996876967
14,0,-34.63224806470846,-56.627747685990116
1,0,-34.83379053303431,-56.25396471557874
13,0,-34.46161824747602,-57.83835541576207
1,1,-34.835444371509084,-56.16831706563898
1,0,-34.79471881464639,-56.18654388885058
1,0,-34.90560796160515,-56.18293426399001
13,0,-34.26749819864459,-57.61070196713955
1,0,-34.77899496328667,-56.0569170081667
6,0,-33.231189348643106,-54.37891026863744
15,0,-33.96117580402706,-57.09135203699792
2,0,-34.712715242714616,-55.941425764234125
1,0,-34.908808152800674,-56.16949348824043
14,0,-34.76170864939484,-56.39436823468436
12,0,-33.249976282412604,-58.02696063007328
1,1,-34.90059928250316,-56.17565066105494
1,0,-34.81990747474308,-56.23282236814116
16,0,-34.087756580841024,-56.214124880177096
1,0,-34.83741745988458,-56.193506371876715
8,1,-30.4194123108971,-56.45970563720046
13,0,-34.42341804526531,-57.20819007502368
5,0,-32.600042604242226,-53.3930791753709
1,0,-34.86349569478285,-56.16940227888046
12,0,-33.53066229159439,-58.21080826091545
3,0,-34.9426932803011,-54.940256488005375
2,0,-34.49669731003478,-56.281923246822274
1,0,-34.83941958390353,-56.14984829118909
2,0,-34.82488370624266,-55.96694680337755
2,1,-34.71317935186447,-55.69211836979343
3,0,-34.91637091342605,-54.9510935162442
8,0,-30.432485423934818,-57.43461649777432
2,0,-34.728903147753776,-56.21586062639921
17,0,-33.373185719819794,-56.525806046410665
4,0,-34.19906086350917,-53.85715549707063
3,0,-34.835168464892455,-55.30105242052621
13,0,-34.4413398951258,-57.84969070011498
1,1,-34.784848465575436,-56.34403072345198
2,0,-34.52644657495848,-56.280251518660904
1,0,-34.83657615794834,-56.12401253613823
1,0,-34.872804626553275,-56.27111881888686
1,0,-34.89355991315641,-56.09254570911729
3,0,-34.9255315627404,-54.941014014766836
3,0,-34.88766730363218,-54.97866763145527
1,0,-34.85225724893622,-56.180946167048766
4,0,-34.57568752335595,-54.127672917132635
3,0,-34.86768302271696,-55.241584573968495
14,0,-34.633551642252456,-56.62643263779753
3,0,-34.941905254435504,-54.93102471270787
2,0,-34.52285594068242,-56.28306076637254
1,0,-34.89283139852732,-56.16057075358338
1,0,-34.838139163639106,-56.2646983222409
3,0,-34.93301195693376,-54.94619123613149
5,0,-32.10531684425097,-54.158455490510725
2,0,-34.41183100202849,-56.147397949983684
3,0,-34.88513843137982,-54.97298552831756
2,0,-34.71090999365899,-56.21537527966098
2,0,-34.70036077036166,-56.21558406553963
1,0,-34.89921060107586,-56.176977925944485
1,0,-34.904352946904424,-56.14469190190155
3,0,-34.93523559885272,-54.912690856754196
10,0,-32.31796640942469,-58.076805059883064
10,0,-32.391230011709254,-57.96923048878346
5,0,-32.358497671003626,-54.16213806592133
13,0,-34.45498352198961,-57.84585527744153
10,0,-32.31264525290518,-58.08720516437331
3,0,-34.90396568147839,-54.94789989685793
3,1,-34.90022884069393,-54.95351910247234
17,1,-33.328877595380995,-55.61778053109176
9,0,-31.383476345353067,-57.953631251813526
1,0,-34.898321186264404,-56.19225479065145
1,0,-34.86407925042484,-56.25237844946277
1,0,-34.89720455317783,-56.167093040629915
3,0,-34.861003564318516,-55.278862907274764
1,0,-34.85325424421831,-56.181702003586935
2,0,-34.681754232750016,-56.217888253422416
1,0,-34.882786564425196,-56.18179236591868
2,0,-34.420816482215095,-56.149211122453906
10,0,-32.32734030901982,-58.07240075866242
1,0,-34.86116159604495,-56.19781470866823
1,0,-34.84176465372284,-56.124504428202144
3,0,-34.909270190000804,-55.00932936417489
19,0,-31.711460530197908,-55.975749596577096
9,0,-31.389152576652787,-57.97267215387258
12,0,-33.533656438024984,-58.22274994018798
13,0,-34.390900825621024,-57.56634222350242
1,0,-34.90520427085533,-56.203625671531356
1,0,-34.893392765504395,-56.16351995589742
2,0,-34.777406385625,-55.855849754759305
2,0,-34.45094704021712,-56.393027949819825
3,0,-34.78674608505208,-54.886388839880915
3,0,-34.91797933405941,-54.95291424097666
5,1,-32.75964279349734,-55.00354875796252
4,0,-34.48073474421404,-54.33694700555011
9,0,-31.38248658221376,-57.88400192314829
1,0,-34.90488894633682,-56.12498422739287
1,0,-34.88556127338986,-56.1854308022254
8,0,-30.428916182374493,-57.04076840950595
9,0,-31.37531949822846,-57.976525549330816
4,0,-34.495962238758985,-54.33041972598641
3,0,-34.94717393522205,-54.93335587642714
12,0,-33.593612494554456,-58.354422129472404
17,0,-33.36275931804099,-56.51194281452672
10,0,-32.31250080254784,-58.08826567637476
3,0,-34.960770033158106,-54.94029687300728
1,0,-34.86378813770066,-56.22038080409526
1,0,-34.87858077882122,-56.173244441872455
3,1,-34.95159670440749,-54.93631077716763
3,0,-34.9128444540777,-54.95315121842713
16,0,-34.0843216219732,-56.21995546421018
1,0,-34.87812118981975,-56.145893808505264
3,1,-34.77963024173018,-55.231598995512655
7,0,-30.964806208020086,-55.556685916233675
3,0,-34.66413156270373,-54.54040482140112
1,0,-34.89018831289758,-56.18965318650417
1,0,-34.82428615206381,-56.101835449977
1,0,-34.87253397082135,-56.13364259741556
3,0,-34.9134614161947,-54.94164391020305
3,0,-34.891335609412636,-54.95275497993746
1,0,-34.87286797334711,-56.123627742493376
3,0,-34.94748524823612,-54.941067284860125
2,0,-34.80288091464114,-56.0047180065615
1,0,-34.79710286511351,-56.15268783263378
15,0,-33.97334657438438,-57.09764368899878
3,0,-34.88438279780106,-54.97092531086348
1,0,-34.88289784712362,-56.08363524110827
3,0,-34.78853591986927,-54.91961917374803
1,0,-34.90664048267393,-56.188999011403126
1,0,-34.83963543869843,-56.148478948376464
3,0,-34.910881205999665,-54.95434913113431
19,0,-31.71243981352033,-55.98539524081086
1,0,-34.786954927465914,-56.10191246359943
3,0,-34.91184750736985,-54.85615357867344
2,0,-34.75277380355366,-55.71847899922801
6,0,-32.833204567056896,-53.8299677137002
17,0,-33.387629841833665,-56.52911450229632
3,0,-34.85456917410382,-55.29573160670625
12,0,-33.24976833187076,-58.04649492627492
1,0,-34.863903618697655,-56.25314585967669
13,0,-34.434084826986165,-57.24337271755629
2,1,-34.72867927046948,-55.968090700818216
7,0,-30.939190566777057,-55.54922099351468
10,0,-32.35246906456681,-57.70706454797784
2,0,-34.55193035943267,-56.3804152042023
7,0,-30.910294076261803,-55.54688435283455
1,0,-34.865642618272666,-56.23551590110441
5,0,-32.3603114149019,-54.168614634143054
5,0,-31.8767778139072,-54.1642831657407
13,0,-34.37490889446594,-57.25125011180493
1,0,-34.80041570913903,-56.346257804840974
16,1,-33.65130570222341,-56.07888926697023
2,0,-34.680415253535664,-55.684938451117254
3,0,-34.87957347987961,-55.05167429233246
17,0,-33.37837256305764,-56.514274545412846
12,0,-33.24837001155552,-58.04653193032452
5,0,-32.38141552682667,-54.1132343687631
1,0,-34.86349569478285,-56.16940227888046
19,0,-31.710425792963044,-55.981723542270686
3,0,-34.89594638187195,-54.95351593828499
2,0,-34.80188697643326,-55.91481600108552
8,1,-30.396853411079405,-56.45988190037888
1,0,-34.85969597094415,-56.23628200964642
1,0,-34.8841368824542,-56.09253988381294
3,0,-34.95998918256382,-54.93944034516878
1,0,-34.839812760949584,-56.2363016512673
2,0,-34.53866712720248,-56.29594785908447
10,0,-32.31809903791721,-58.098052688258505
17,0,-33.3123270613362,-56.30972592435141
2,0,-34.65227819496074,-56.241135806402646
18,0,-34.554996861038575,-55.45847646410634
3,0,-34.9426932803011,-54.940256488005375
1,0,-34.90584833420587,-56.20558969963219
1,0,-34.87224369389903,-56.17620734078182
9,0,-31.38860725990617,-57.90546182052882
13,0,-34.334118251112685,-57.56911296565928
18,0,-34.36854354901608,-55.230009152786515
14,0,-34.34891177698476,-56.71696887630823
3,0,-34.88513843137982,-54.97298552831756
3,0,-34.74383315803501,-55.397519635381705
4,0,-34.055201963930294,-53.86594536398298
16,1,-34.09963022587222,-56.202361155771285
7,1,-30.908436421523742,-55.54215160939503
3,0,-34.93835819797296,-54.94512732546566
1,0,-34.90297144754057,-56.166487545501624
13,0,-34.45811546847828,-57.82966523674594
10,0,-31.951872918048032,-57.85465289374247
11,0,-33.139635659650864,-58.278900189181776
5,1,-32.37349303290433,-54.14541338126077
9,0,-31.286827304553597,-57.91945853616343
5,1,-31.96539622980287,-54.12538646142293
7,1,-30.882123767634543,-55.5570380478839
1,0,-34.87223663510769,-56.202193100153785
3,0,-34.93638651623666,-54.93784150544251
4,0,-34.65504132541933,-54.43616177223582
3,0,-34.93985776720151,-54.94317396107824
3,0,-34.89391411477245,-54.95329280536021
19,0,-31.97237739922199,-56.041600009187114
5,0,-32.370859927865936,-54.16456699951646
9,0,-31.39800748327198,-57.952884084900326
9,0,-31.373644306180832,-57.96541441547651
1,0,-34.870001521401015,-56.17136094658048
1,0,-34.77912100201023,-56.295386716376285
10,0,-32.389153110809374,-57.96362676001131
13,0,-34.43768198841199,-57.44050498304571
13,0,-34.28611831321031,-57.2305590711219
3,0,-34.93103454547014,-54.95456033242917
12,0,-33.244434736857926,-58.026305456148904
1,0,-34.871745639847006,-56.118059635340394
3,0,-34.93757520713445,-54.93616955027717
13,1,-34.46932277952066,-57.83919464294294
3,0,-34.88774139844845,-54.79375981933851
2,0,-34.81950983328113,-56.009274392882254
2,0,-34.76358302449576,-56.01797429951851
9,0,-31.386995482783462,-57.95960889867853
3,0,-34.931352062634176,-54.92280583124096
3,0,-34.75586285415202,-54.72365129836488
6,0,-33.23360675967686,-54.390961532916805
3,0,-34.95151783481291,-54.929031151021974
13,0,-33.91508166087045,-58.377767711066554
1,0,-34.8497644054083,-56.12720896677319
2,0,-34.72137338767903,-56.24438213933797
4,0,-33.90186554559352,-53.51372946235843
3,0,-34.7830772771727,-54.85960133599145
12,0,-33.52351435113207,-58.22233798206231
3,0,-34.86217402793242,-55.15577992492124
3,0,-34.87957347987961,-55.05167429233246
2,0,-34.52145767663274,-56.27533705383586
3,0,-34.89436316534221,-54.9371966187201
4,0,-33.64274418957107,-54.181154596047406
18,0,-34.371054287347796,-55.23528471282175
14,0,-34.33203868845557,-56.71322068500267
18,0,-34.381176701886595,-55.236921170196965
5,0,-32.37124958728514,-54.16986706703956
1,0,-34.81722216847838,-56.141329180983014
11,0,-33.12264729312683,-58.29510686864918
10,0,-32.3202542632643,-58.08352480915007
1,0,-34.87405901751616,-56.13887853344698
10,0,-32.318066119000534,-58.075690820349
16,0,-33.73250491143469,-56.336388922373
5,0,-32.60042453718439,-53.411112511203584
2,0,-34.72126173749011,-55.9600466077286
6,0,-33.22900691689064,-54.37162666254383
1,0,-34.89047647157912,-56.185546447290605
15,1,-33.51953989894798,-56.90076942051714
15,0,-33.50803761208913,-56.897983144336635
2,0,-34.521908789498745,-56.283014404841296
14,0,-34.35493601762771,-56.641265605050705
13,0,-34.28611831321031,-57.2305590711219
7,0,-30.910002228762202,-55.5290485125176
18,0,-34.374313278976764,-55.24244801046877
13,0,-33.93237805555338,-57.811872746451606
19,1,-31.72275432949139,-55.983488598403646
10,0,-32.26572742937734,-58.083141775345766
8,0,-30.41109666839911,-56.46735166932215
1,1,-34.89947626019388,-56.182940271339824
1,0,-34.86656117446896,-56.196175887430016
2,0,-34.716804225499544,-55.96075765494798
3,0,-34.909984673284036,-54.865559212678086
2,0,-34.685308399281205,-55.80089964167306
14,0,-34.771905270306995,-56.360416209606946
3,1,-34.91272682569361,-54.959556773554276
19,0,-31.72799282561222,-55.96184601857485
10,0,-32.30954006360253,-58.0652335470548
5,0,-32.37056996354125,-54.16771025833637
2,0,-34.58095164753776,-56.15913974281323
3,0,-34.913370371974736,-54.941591460128684
1,0,-34.887024754426434,-56.11116631779901
1,0,-34.89995754149083,-56.18747768597982
2,0,-34.86164151544613,-56.006362662643916
7,1,-30.886837567251508,-55.57124667754395
3,0,-34.88400588183354,-54.96994989880376
1,1,-34.8994548149467,-56.1932287376071
1,0,-34.890012918084416,-56.150750121944284
5,0,-32.33767355313915,-54.299850029696934
2,0,-34.71915211606539,-56.21398688780602
12,0,-33.26367782751475,-58.027926172050144
19,0,-31.713576324719096,-55.98084482163195
1,0,-34.87693637144577,-56.157012122777
1,0,-34.835990339375066,-56.19587164823294
12,0,-33.251654745691646,-58.036641498114086
5,0,-32.583734120476656,-53.474166397537964
1,0,-34.72110472161663,-56.28965403881033
2,0,-34.70738595112668,-56.257394534881165
9,0,-31.3737440116125,-57.96415357775575
1,0,-34.78589316071558,-56.135861174888696
1,0,-34.84996206978946,-56.16171737103133
3,0,-34.90548692971224,-54.95256782554275
2,0,-34.76003393732046,-56.23321276588505
1,0,-34.88622320689801,-56.05859339214737
1,0,-34.86786960809782,-56.16290325933088
14,0,-34.74582193378735,-56.43812890457181
19,0,-31.71686420386466,-55.9858747513111
5,0,-32.58935887789423,-53.38514997617921
1,0,-34.903952614905286,-56.19159764354503
5,0,-31.991946533868283,-54.13117060755928
1,0,-34.87921237540783,-56.06737234172878
3,0,-34.90063963298317,-54.948475103197964
1,0,-34.80135902319417,-56.08661561926144
2,0,-34.77194587990811,-55.84100883283211
17,0,-33.371764344523044,-56.519740017222006
1,1,-34.885073463872175,-56.26449934764536
3,0,-34.90656928845058,-54.941925429056134
12,0,-33.698584251715225,-58.338156725292656
4,0,-34.638816261467205,-54.446968725179616
16,0,-34.101353372559494,-55.65125343206759
9,0,-31.410126392870275,-57.990666444148054
13,0,-34.46516848788878,-57.83349134858914
13,0,-33.87169842434974,-58.410206401710255
3,0,-34.92646985922326,-54.95921646592334
9,0,-31.38311401370966,-57.96587934613209
1,0,-34.89436552995757,-56.173907139195066
1,0,-34.854393607355725,-56.197059987824574
1,0,-34.86081770214436,-56.1472761070791
9,0,-31.371370521507995,-57.912446889596666
3,0,-34.90917857400795,-54.97649871247118
1,1,-34.80591082649366,-56.161507713271725
2,0,-34.75449393349296,-55.76717900543418
2,0,-34.80539103474965,-55.928653969427884
9,1,-31.100116647340883,-57.686399164657374
13,0,-34.413213484685876,-57.44853776469582
1,0,-34.85256504819894,-56.12794509788134
3,0,-34.906419437375675,-54.95440511990916
4,0,-34.20411490846527,-53.87503073318975
1,0,-34.8271841403579,-56.20055012341415
8,0,-30.409217074125664,-56.48240588626858
2,0,-34.76358386445629,-55.747813288480515
11,0,-33.1299650652077,-58.28958660404761
3,0,-34.95385092608725,-54.9336809827975
2,0,-34.74991209443322,-55.70792635308825
3,1,-34.8840131887128,-54.97038735471892
10,0,-32.316949281727545,-58.084972660787805
3,0,-34.73393783741996,-55.06116113337097
3,0,-34.964630070851065,-54.94463561548379
2,0,-34.7877019253613,-55.90664051561548
5,0,-32.35696808168277,-54.16829398736217
10,0,-32.32558947861574,-58.08725360044776
1,0,-34.868868294105674,-56.23942478462713
17,0,-33.38061711062509,-56.53511915335285
1,0,-34.864305344820636,-56.25248580678307
2,1,-34.654619185104224,-56.05363571331796
1,0,-34.8550551965578,-56.12939558626134
13,0,-34.00324545277386,-58.284932780397895
6,0,-32.82307646228127,-53.82162632313264
19,0,-32.67369597628435,-56.48708761564456
5,0,-32.59086345942919,-53.37949985457652
4,0,-34.46733721825617,-54.322025978370185
13,0,-34.28124590151991,-57.23184950954783
9,0,-31.40057362715548,-57.94749298843692
8,0,-30.41639240763109,-56.46045110176469
5,1,-32.37039688164449,-54.180093100663974
13,0,-34.42071642624322,-57.592660861449104
2,1,-34.79665209528466,-55.92953221100043
3,0,-34.86217402793242,-55.15577992492124
3,0,-34.90559187473456,-54.97226395117706
1,0,-34.87428122145435,-56.184174386662626
5,0,-32.37138222364678,-54.18787153815979
1,0,-34.90223470976485,-56.16425120364755
14,0,-34.69384904104481,-56.526370580092035
18,1,-33.90793377542124,-55.19476163424363
9,0,-31.40670313722104,-57.94823832123656
8,1,-30.254501352449743,-57.592090646831934
3,0,-34.82387320394475,-55.31221810909452
2,0,-34.760927448472735,-56.224790968264514
2,0,-34.71745294464418,-55.96812098729029
11,0,-33.11959451477998,-58.306744876776385
1,1,-34.8267808658089,-56.20782602180254
7,1,-30.99894885903292,-55.51642607121088
1,0,-34.88573501556548,-56.16452773123992
10,0,-32.31998603964712,-58.07268588576914
1,0,-34.88064737958067,-56.14608652266639
18,0,-34.37590962835567,-55.24687336593563
2,0,-34.45982383400021,-56.39182053676325
5,0,-32.211464796800094,-54.173451948345914
19,0,-31.709167346714736,-55.98796361762305
18,0,-34.16953504455601,-55.111753628837434
1,0,-34.8271841403579,-56.20055012341415
2,1,-34.63887962036122,-56.300230055896996
2,0,-34.57510298716959,-56.167593357541826
14,0,-34.694871928780486,-56.74915164896574
9,0,-31.385459495950535,-57.95386162706769
17,1,-32.829881826760015,-56.4968224472772
18,0,-34.045209739357325,-54.77851396397041
13,1,-34.344662970198975,-57.196035255869106
19,0,-31.716215099851887,-55.98366550151913
3,0,-34.94806373794821,-54.92473832901708
1,0,-34.791854527773914,-56.22433768148925
5,0,-32.36466161674604,-54.17161294051376
1,0,-34.89372288069545,-56.09626490990044
19,0,-31.708836022682675,-55.99741220762243
16,0,-33.864518410294025,-55.550022024519386
10,0,-31.480359099022856,-57.90587053196157
2,0,-34.522405152867634,-56.2754378027619
13,0,-33.869341628485486,-58.41519468069622
2,0,-34.50924686246087,-56.041011709336786
18,0,-34.37123336182315,-55.23832575578443
1,0,-34.83864305833018,-56.19475216161008
13,0,-34.285373903992394,-57.62473826960519
7,0,-31.468490334731293,-54.96053593716222
5,0,-32.37665154201989,-54.165501644223106
11,0,-33.13177087865399,-58.29808155736848
1,0,-34.87668701978403,-56.2496929458635
3,0,-34.946449278603005,-54.93315508586011
2,0,-34.767729016103836,-55.80129314599391
1,0,-34.906039904066105,-56.193602164493875
13,0,-34.1829070990409,-57.83276690584057
9,0,-31.387777930532383,-57.95146613864085
3,0,-34.77140097151631,-55.39578483561845
1,0,-34.86301775275311,-56.23395386825753
2,0,-34.74665670028149,-56.06132684193471
14,0,-34.33158355889298,-56.71142851934819
3,0,-34.95570723409874,-54.93680997514899
4,1,-34.633779670634986,-54.164112122827895
1,0,-34.789849012453985,-56.20009081968398
17,0,-33.26668077832309,-56.688835357459624
1,0,-34.87043478530271,-56.18207886982342
2,0,-34.699153142486466,-56.23126356217359
1,0,-34.83302563922834,-56.14461000868999
13,0,-34.28507116617891,-57.23582574640627
14,0,-34.77615294364278,-56.37087507160126
14,0,-34.745253681214606,-56.42267421117025
10,0,-32.31511838441781,-58.0775680620076
